Task_ID,Task_Episode,Total_Episode,Goal_X,Goal_Y,Steps,TotalReward,Result,Final_X,Final_Y,Is_Converged,Acquired_Policies,UnsafeActions,SAP_Plan
3,4,64,8.0,6.0,30,-36.22,Collision,3.03,4.54,False,2,2,Plan_T3
3,5,65,8.0,6.0,49,84.34,Goal,8.15,6.16,False,2,1,Plan_T3
3,6,66,8.0,6.0,18,-26.99,Collision,5.87,3.12,False,2,1,Plan_T3
3,7,67,8.0,6.0,16,-44.06,Collision,3.06,4.17,False,2,1,Plan_T3
3,8,68,8.0,6.0,26,-44.16,Collision,4.95,3.13,False,2,1,Plan_T3
3,9,69,8.0,6.0,13,-45.89,Collision,5.61,3.26,False,2,1,Plan_T3
3,10,70,8.0,6.0,44,79.26,Goal,8.2,5.84,False,2,1,Plan_T3
3,11,71,8.0,6.0,31,-49.9,Collision,3.58,3.09,False,2,0,
3,12,72,8.0,6.0,45,85.45,Goal,7.85,6.08,False,2,1,Plan_T3
3,13,73,8.0,6.0,42,79.37,Goal,8.57,6.01,False,2,0,
3,14,74,8.0,6.0,43,89.48,Goal,8.3,6.42,False,2,0,
3,15,75,8.0,6.0,42,87.16,Goal,7.8,5.8,False,2,1,Plan_T3
3,16,76,8.0,6.0,44,93.95,Goal,8.06,6.28,False,2,0,
3,17,77,8.0,6.0,39,80.63,Goal,7.76,6.15,False,2,0,
3,18,78,8.0,6.0,40,85.11,Goal,7.89,6.03,False,2,0,
3,19,79,8.0,6.0,48,83.67,Goal,7.92,5.51,False,2,0,
3,20,80,8.0,6.0,37,88.42,Goal,7.99,6.21,True,3,0,
3,21,81,8.0,6.0,39,87.83,Goal,7.79,5.83,False,3,0,
3,22,82,8.0,6.0,41,83.31,Goal,8.26,5.96,False,3,0,
3,23,83,8.0,6.0,49,78.97,Goal,7.96,5.66,False,3,0,
3,24,84,8.0,6.0,57,82.93,Goal,7.7,6.05,False,3,0,
3,25,85,8.0,6.0,47,81.19,Goal,7.98,6.13,False,3,0,
3,26,86,8.0,6.0,34,80.86,Goal,8.15,6.06,False,3,0,
3,27,87,8.0,6.0,44,83.38,Goal,8.06,6.12,False,3,0,
3,28,88,8.0,6.0,40,86.95,Goal,8.06,6.07,False,3,0,
3,29,89,8.0,6.0,40,77.49,Goal,7.55,5.76,False,3,0,
3,30,90,8.0,6.0,57,78.96,Goal,8.12,5.95,False,3,0,
